Known	Ascertainment	GeneID	HGNC	EntrezID	CytoBand	ExACpLI	LOEUFbin	Arisk	ForecASD	ASDdnSignif	ASDNDDdnSignif	SFARICategory	SFARIScore	DDDCategory	DDDAllelic	DDDMutCons	DDDOrgan
.	TDT	ENSG00000159459	UBR1	197131	15q15.2	0.319889980799525	1	0.497459189504283	0.186	.	.	.	.	confirmed	biallelic	loss of function	Face,Skeleton,Endocrine/Metabolic,Brain/Cognition
.	TDT	ENSG00000067798	NAV3	89795	12q21.2	0.999999398861806	0	0.446145664842175	0.494	.	.	.	.	.	.	.	.
.	TDT	ENSG00000205726	ITSN1	6453	21q22.11	0.999999973635691	0	0.46633451819661	0.398	.	.	.	.	.	.	.	.
x	TDT	ENSG00000100485	SOS2	6655	14q21.3	0.999427840971243	0	0.528837735045112	0.29	.	.	.	.	.	.	.	.
x	Denovo	ENSG00000117139	KDM5B	10765	1q32.1	5.09420142344633e-05	2	0.813934161841446	0.994011976047904	x	x	Rare Single Gene Mutation, Syndromic, Functional	2	probable	biallelic|monoallelic	loss of function	Brain/Cognition
.	TDT	ENSG00000142949	PTPRF	5792	1p34.2	0.999998378977356	0	0.483296796161814	0.162	.	.	.	.	possible	biallelic	loss of function	Skin
.	TDT	ENSG00000189056	RELN	5649	7q22.1	0.999999999999998	0	0.36771447627121	0.841269841269841	.	.	Rare Single Gene Mutation, Syndromic, Genetic Association, Functional	1	confirmed	biallelic	loss of function	Brain/Cognition
.	TDT	ENSG00000054523	KIF1B	23095	1p36.22	0.999999999958917	0	0.670987350480318	0.58	.	.	.	.	.	.	.	.
.	TDT	ENSG00000009413	REV3L	5980	6q21	0.999999999999932	0	0.760885606247568	0.366379310344828	.	.	.	.	.	.	.	.
.	TDT	ENSG00000196586	MYO6	4646	6q14.1	0.0177883990936548	1	0.551476301680709	0.086	.	.	.	.	.	.	.	.
.	TDT	ENSG00000112851	ERBIN	55914	5q12.3	0.993356911851659	1	0.613937103204908	0.905263157894737	.	.	Rare Single Gene Mutation	2	.	.	.	.
.	Denovo,TDT	ENSG00000174106	LEMD3	23592	12q14.3	0.998968434807237	0	0.60561385302068	0.556	.	.	.	.	confirmed	monoallelic	loss of function	Skeleton
.	TDT	ENSG00000149256	TENM4	26011	11q14.1	0.999718775956683	0	0.572368046337424	0.066	.	.	.	.	.	.	.	.
.	TDT	ENSG00000115677	HDLBP	3069	2q37.3	0.999998382970679	0	0.192495965609958	0.828	.	.	Rare Single Gene Mutation	3	.	.	.	.
.	TDT	ENSG00000083097	DOP1A	23033	6q14.1	0.999995778425231	0	0.478489216743244	0.274	.	.	.	.	.	.	.	.
.	TDT	ENSG00000006432	MAP3K9	4293	14q24.2	0.92339517875996	1	0.425323128088745	0.516	.	.	.	.	.	.	.	.
x	Denovo,TDT	ENSG00000118482	PHF3	23469	6q12	0.999469419864182	1	0.695688580899908	0.889502762430939	.	.	Rare Single Gene Mutation	1	.	.	.	.
.	TDT	ENSG00000198853	RUSC2	9853	9p13.3	0.999977319884014	0	0.575985419454121	0.112	.	.	.	.	.	.	.	.
x	Denovo	ENSG00000146830	GIGYF1	64599	7q22.1	0.978704811680111	2	0.560433093649205	0.766	x	x	Rare Single Gene Mutation	1	probable	monoallelic	loss of function	
.	TDT	ENSG00000136381	IREB2	3658	15q25.1	0.999999730362402	0	0.517703765635141	0.244	.	.	.	.	.	.	.	.
.	TDT	ENSG00000151292	CSNK1G3	1456	5q23.2	0.996751666329429	0	0.325683046410364	0.64	.	.	.	.	.	.	.	.
.	TDT	ENSG00000186472	PCLO	27445	7q21.11	0.999999999988929	0	0.892072738370643	0.338	.	.	.	.	.	.	.	.
.	TDT	ENSG00000136891	TEX10	54881	9q31.1	0.999988106747192	0	0.338535453068525	0.422	.	.	.	.	.	.	.	.
.	TDT	ENSG00000110844	PRPF40B	25766	12q13.12	0.98865339397477	0	0.388199195707334	0.084	.	.	.	.	.	.	.	.
.	TDT	ENSG00000170385	SLC30A1	7779	1q32.3	0.913544366960314	0	0.054621659260706	0.144	.	.	.	.	.	.	.	.
.	TDT	ENSG00000116254	CHD5	26038	1p36.31	0.999999995117076	0	0.589035438726498	0.704	.	.	.	.	.	.	.	.
