Strict	SPARK	Signif	GeneID	HGNC	CytoBand	ExACpLI	gnomADpLI	LoFOvsE	LOEUF	LOEUFbin	SynOvsE	sHet	Frisk	FriskRank	forecASD	SFARICategory	SFARIScore	SFARIScore201908	DDDCategory	DDDAllelic	DDDMutCons	DDDOrgan
x	x	x	ENSG00000143442	POGZ	1q21.3	1.0000e+00	1.0000e+00	4.5859e-02	1.1900e-01	0	9.7057e-01	0.214954524343458	0.748426112129549	335	0.995049504950495	Rare Single Gene Mutation, Syndromic	1	1S	confirmed	monoallelic	loss of function	Brain/Cognition
x	x	x	ENSG00000169057	MECP2	Xq28	6.9809e-01	8.9382e-01	8.5755e-02	4.0700e-01	1	2.0282e+00	0.0882033728499718	0.625478812867494	862	0.659685863874346	Rare Single Gene Mutation, Syndromic, Functional	1	2S	confirmed	x-linked dominant|hemizygous	loss of function|increased gene dosage	Brain/Cognition,GI tract
x	x	x	ENSG00000136531	SCN2A	2q24.3	1.0000e+00	1.0000e+00	6.0487e-02	1.2700e-01	0	1.0084e+00	0.257771076876808	0.86939821400544	21	1	Rare Single Gene Mutation, Syndromic	1	1	confirmed	monoallelic	loss of function|all missense/in frame	Brain/Cognition
x	x	x	ENSG00000171862	PTEN	10q23.31	9.7551e-01	2.5651e-01	2.4093e-01	5.0700e-01	2	1.0183e+00	0.126160206345206	0.570033447284236	1174	0.973958333333333	Rare Single Gene Mutation, Syndromic, Functional	1	1S	confirmed	monoallelic|mosaic	loss of function|uncertain	Skin,Skeleton,Brain/Cognition
x	x	x	ENSG00000173575	CHD2	15q26.1	1.0000e+00	1.0000e+00	2.7031e-02	7.0000e-02	0	9.5212e-01	0.172054037996617	0.798028699542104	163	0.962765957446808	Rare Single Gene Mutation, Syndromic	1	1S	confirmed	monoallelic	loss of function	Brain/Cognition
x	x	x	ENSG00000157540	DYRK1A	21q22.13	9.9958e-01	9.9967e-01	8.2845e-02	2.1400e-01	0	1.1509e+00	0.129493096397144	0.734816815832918	377	1	Rare Single Gene Mutation, Syndromic, Functional	1	1S	confirmed	monoallelic	loss of function	Face,Brain/Cognition
x	.	x	ENSG00000117139	KDM5B	1q32.1	5.0942e-05	7.9102e-15	4.3906e-01	5.7200e-01	2	9.4086e-01	0.0147710411182876	0.813934161841446	121	0.994011976047904	Rare Single Gene Mutation, Syndromic, Functional	2	2	probable	biallelic|monoallelic	loss of function	Brain/Cognition
x	x	x	ENSG00000114861	FOXP1	3p13	9.9975e-01	9.9998e-01	6.7765e-02	1.7500e-01	0	1.1788e+00	0.0478852550973534	0.577027363064304	1122	1	Rare Single Gene Mutation, Syndromic, Genetic Association, Functional	1	2S	confirmed	monoallelic	loss of function	Brain/Cognition
x	x	x	ENSG00000110066	KMT5B	11q13.2	9.9993e-01	1.0000e+00	0.0000e+00	7.8000e-02	0	8.6322e-01	0.409281994121726	0.730274738447483	397	1	Rare Single Gene Mutation, Syndromic	1	1	confirmed	monoallelic	loss of function	Brain/Cognition
x	x	x	ENSG00000049618	ARID1B	6q25.3	9.9995e-01	1.0000e+00	4.4396e-02	1.0200e-01	0	1.0068e+00	0.171574177719296	0.828649223705414	88	0.984293193717278	Rare Single Gene Mutation, Syndromic	1	1S	confirmed	monoallelic	loss of function	Skin,Skeleton,Brain/Cognition
x	x	x	ENSG00000101126	ADNP	20q13.13	9.9890e-01	1.0000e+00	2.5868e-02	1.2300e-01	0	1.3405e+00	0.135996662587073	0.720689372877106	443	0.994708994708995	Rare Single Gene Mutation, Syndromic, Functional	1	1S	confirmed	monoallelic	loss of function	Brain/Cognition
x	x	x	ENSG00000197283	SYNGAP1	6p21.32	1.0000e+00	1.0000e+00	0.0000e+00	5.2000e-02	0	8.8329e-01	0.506112160186287	.	.	0.955056179775281	Rare Single Gene Mutation, Syndromic	1	1S	confirmed	monoallelic	loss of function	Brain/Cognition
