Curated	Known	Ascertainment	GeneID	HGNC	EntrezID	CytoBand	ExACpLI	LOEUFbin	Arisk	ForecASD	ASDdnSignif	ASDNDDdnSignif	SFARICategory	SFARIScore	DDDCategory	DDDAllelic	DDDMutCons	DDDOrgan	dnLoFCase	dnLoFMegaCase	dnDmisCase	dnLoFControl	dnDmisControl	pAllEnrichMeta	pMisCombMeta	pDenovoWESTMeta	Filter	Par	Trans	NonTrans	TransUnaff	NonTransUnaff	TDTStat	pTDT	AllCase	AllCaseRate	NRCase	NRCaseRate	NREuroCase	NREuroCaseRate	NRControl	NRControlRate	NREuroControl	NREuroControlRate	pPCC	FullCase	FullCaseInherit	FullCaseRate	UnrelCase	UnrelCaseInherit	UnrelCaseRate	gnomADexome	gnomADexomeRate	gnomADexomepCC	gnomADexomepTDTCC	gnomADexomepTDTCCdnWEST	gnomADexomepMegaCC	gnomADexomeNonNeuro	gnomADexomeNonNeuroRate	gnomADexomeNonNeuropCC	gnomADexomeNonNeuropTDTCC	gnomADexomeNonNeuropTDTCCdnWEST	gnomADexomeNonNeuropMegaCC	gnomADexomeNonNeuroEuro	gnomADexomeNonNeuroEuroRate	gnomADexomeNonNeuroEuropCC	gnomADexomeNonNeuroEuropTDTCC	gnomADexomeNonNeuroEuropTDTCCdnWEST	gnomADexomeNonNeuroEuropMegaCC	gnomADgenome	gnomADgenomeRate	gnomADgenomepCC	gnomADgenomepTDTCC	gnomADgenomepTDTCCdnWEST	gnomADgenomepMegaCC	gnomADgenomeNonNeuro	gnomADgenomeNonNeuroRate	gnomADgenomeNonNeuropCC	gnomADgenomeNonNeuropTDTCC	gnomADgenomeNonNeuropTDTCCdnWEST	gnomADgenomeNonNeuropMegaCC	gnomADgenomeNonNeuroEuro	gnomADgenomeNonNeuroEuroRate	gnomADgenomeNonNeuroEuropCC	gnomADgenomeNonNeuroEuropTDTCC	gnomADgenomeNonNeuroEuropTDTCCdnWEST	gnomADgenomeNonNeuroEuropMegaCC	TopMed	TopMedRate	TopMedpCC	TopMedpTDTCC	TopMedpTDTCCdnWEST	TopMedpMegaCC
x	x	Denovo	ENSG00000117139	KDM5B	10765	1q32.1	5.09420142344633e-05	2	0.813934161841446	0.994011976047904	x	x	Rare Single Gene Mutation, Syndromic, Functional	2	probable	biallelic|monoallelic	loss of function	Brain/Cognition	16	13	14	5	2	1.00E-14	1.14E-14	1.00E-14	AllLoFpExt0.9	36	32	9	7	8	3.59199652343794	2.15E-04	35	1.99	31	1.96	26	2.36	6	0.42	5	0.47	8.142863e-05	79	31	2.22	70	27	2.19	128	1.02	1.77E-03	6.00E-06	0.00E+00	9.70E-07	95	0.91	4.77E-04	1.75E-06	0.00E+00	1.01E-07	30	0.67	7.44E-06	3.40E-08	0.00E+00	.	60	0.79	4.24E-05	1.78E-07	0.00E+00	2.15E-09	51	0.76	3.04E-05	1.30E-07	0.00E+00	1.79E-09	23	0.72	2.32E-05	1.01E-07	0.00E+00	.	114	0.86	6.72E-05	2.75E-07	0.00E+00	1.06E-09
x	x	Denovo	ENSG00000117139	KDM5B	10765	1q32.1	5.09420142344633e-05	2	0.813934161841446	0.994011976047904	x	x	Rare Single Gene Mutation, Syndromic, Functional	2	probable	biallelic|monoallelic	loss of function	Brain/Cognition	16	13	14	5	2	1.00E-14	1.14E-14	1.00E-14	RareLoFpExt0.9	33	28	9	7	8	3.12358075880179	1.28E-03	35	1.99	31	1.96	26	2.36	6	0.42	5	0.47	8.142863e-05	75	27	2.10	67	24	2.09	85	0.68	3.68E-06	9.51E-08	0.00E+00	5.19E-11	60	0.58	3.95E-07	1.13E-08	0.00E+00	1.85E-12	30	0.67	7.44E-06	1.85E-07	0.00E+00	.	45	0.59	5.56E-07	1.57E-08	0.00E+00	9.28E-12	36	0.53	1.79E-07	5.30E-09	0.00E+00	2.45E-12	21	0.66	8.60E-06	2.13E-07	0.00E+00	.	84	0.63	4.18E-07	1.20E-08	0.00E+00	7.19E-13
x	x	Denovo	ENSG00000117139	KDM5B	10765	1q32.1	5.09420142344633e-05	2	0.813934161841446	0.994011976047904	x	x	Rare Single Gene Mutation, Syndromic, Functional	2	probable	biallelic|monoallelic	loss of function	Brain/Cognition	16	13	14	5	2	1.00E-14	1.14E-14	1.00E-14	URLoFpExt0.9	33	28	9	7	8	3.12358075880179	1.28E-03	35	1.99	31	1.96	26	2.36	6	0.42	5	0.47	8.142863e-05	75	27	2.10	67	24	2.09	85	0.68	3.68E-06	9.51E-08	0.00E+00	5.19E-11	60	0.58	3.95E-07	1.13E-08	0.00E+00	1.85E-12	30	0.67	7.44E-06	1.85E-07	0.00E+00	.	45	0.59	5.56E-07	1.57E-08	0.00E+00	9.28E-12	36	0.53	1.79E-07	5.30E-09	0.00E+00	2.45E-12	21	0.66	8.60E-06	2.13E-07	0.00E+00	.	84	0.63	4.18E-07	1.20E-08	0.00E+00	7.19E-13
x	x	Denovo,TDT	ENSG00000197102	DYNC1H1	1778	14q32.31	1	0	0.545021978532681	0.698	x	x	Rare Single Gene Mutation, Syndromic	2	confirmed	monoallelic	all missense/in frame	Brain/Cognition	7	5	9	0	0	5.48E-08	8.89E-04	5.48E-08	AllLoFpExt0.9	12	12	1	0	7	3.05085107923876	1.71E-03	17	0.97	15	0.95	10	0.91	1	0.07	1	0.09	0.0005598412	34	12	0.95	30	11	0.94	26	0.21	2.03E-05	6.30E-07	1.16E-12	4.27E-08	17	0.16	4.09E-06	1.38E-07	2.55E-13	5.36E-09	7	0.16	4.62E-04	1.19E-05	2.18E-11	.	13	0.17	1.35E-05	4.29E-07	7.89E-13	6.72E-08	12	0.18	2.61E-05	7.99E-07	1.47E-12	2.30E-07	5	0.16	1.01E-03	2.46E-05	4.54E-11	.	27	0.20	1.56E-05	4.91E-07	9.03E-13	2.52E-08
x	x	Denovo,TDT	ENSG00000197102	DYNC1H1	1778	14q32.31	1	0	0.545021978532681	0.698	x	x	Rare Single Gene Mutation, Syndromic	2	confirmed	monoallelic	all missense/in frame	Brain/Cognition	7	5	9	0	0	5.48E-08	8.89E-04	5.48E-08	RareLoFpExt0.9	12	12	1	0	7	3.05085107923876	1.71E-03	17	0.97	15	0.95	10	0.91	1	0.07	1	0.09	0.0005598412	34	12	0.95	30	11	0.94	26	0.21	2.03E-05	6.30E-07	1.16E-12	4.27E-08	17	0.16	4.09E-06	1.38E-07	2.55E-13	5.36E-09	7	0.16	4.62E-04	1.19E-05	2.18E-11	.	13	0.17	1.35E-05	4.29E-07	7.89E-13	6.72E-08	12	0.18	2.61E-05	7.99E-07	1.47E-12	2.30E-07	5	0.16	1.01E-03	2.46E-05	4.54E-11	.	27	0.20	1.56E-05	4.91E-07	9.03E-13	2.52E-08
x	x	Denovo,TDT	ENSG00000197102	DYNC1H1	1778	14q32.31	1	0	0.545021978532681	0.698	x	x	Rare Single Gene Mutation, Syndromic	2	confirmed	monoallelic	all missense/in frame	Brain/Cognition	7	5	9	0	0	5.48E-08	8.89E-04	5.48E-08	URLoFpExt0.9	12	12	1	0	7	3.05085107923876	1.71E-03	17	0.97	15	0.95	10	0.91	1	0.07	1	0.09	0.0005598412	34	12	0.95	30	11	0.94	26	0.21	2.03E-05	6.30E-07	1.16E-12	4.27E-08	17	0.16	4.09E-06	1.38E-07	2.55E-13	5.36E-09	7	0.16	4.62E-04	1.19E-05	2.18E-11	.	13	0.17	1.35E-05	4.29E-07	7.89E-13	6.72E-08	12	0.18	2.61E-05	7.99E-07	1.47E-12	2.30E-07	5	0.16	1.01E-03	2.46E-05	4.54E-11	.	27	0.20	1.56E-05	4.91E-07	9.03E-13	2.52E-08
x	x	TDT	ENSG00000151150	ANK3	288	10q21.2	0.999999999999921	0	0.793426482384601	0.7	.	.	Rare Single Gene Mutation, Genetic Association	1	.	.	.	.	1	1	2	1	0	0.23	0.11	0.11	AllLoFpExt0.5	16	14	3	0	3	2.66789187539966	6.36E-03	5	0.28	3	0.19	2	0.18	1	0.07	1	0.09	0.355787	20	15	0.56	17	14	0.53	18	0.14	0.43	0.02	0.02	2.10E-04	11	0.11	0.29	0.01	0.02	3.55E-05	6	0.13	0.50	0.02	0.03	.	15	0.20	0.62	0.03	0.03	4.37E-03	13	0.19	0.61	0.03	0.03	4.73E-03	7	0.22	0.71	0.03	0.03	.	30	0.23	0.69	0.03	0.03	5.31E-03
x	x	TDT	ENSG00000151150	ANK3	288	10q21.2	0.999999999999921	0	0.793426482384601	0.7	.	.	Rare Single Gene Mutation, Genetic Association	1	.	.	.	.	1	1	2	1	0	0.23	0.11	0.11	RareLoFpExt0.5	16	14	3	0	3	2.66789187539966	6.36E-03	5	0.28	3	0.19	2	0.18	1	0.07	1	0.09	0.355787	20	15	0.56	17	14	0.53	18	0.14	0.43	0.02	0.02	2.10E-04	11	0.11	0.29	0.01	0.02	3.55E-05	6	0.13	0.50	0.02	0.03	.	15	0.20	0.62	0.03	0.03	4.37E-03	13	0.19	0.61	0.03	0.03	4.73E-03	7	0.22	0.71	0.03	0.03	.	30	0.23	0.69	0.03	0.03	5.31E-03
x	x	TDT	ENSG00000151150	ANK3	288	10q21.2	0.999999999999921	0	0.793426482384601	0.7	.	.	Rare Single Gene Mutation, Genetic Association	1	.	.	.	.	1	1	2	1	0	0.23	0.11	0.11	URLoFpExt0.5	16	14	3	0	3	2.66789187539966	6.36E-03	5	0.28	3	0.19	2	0.18	1	0.07	1	0.09	0.355787	20	15	0.56	17	14	0.53	18	0.14	0.43	0.02	0.02	2.10E-04	11	0.11	0.29	0.01	0.02	3.55E-05	6	0.13	0.50	0.02	0.03	.	15	0.20	0.62	0.03	0.03	4.37E-03	13	0.19	0.61	0.03	0.03	4.73E-03	7	0.22	0.71	0.03	0.03	.	30	0.23	0.69	0.03	0.03	5.31E-03
x	x	Denovo	ENSG00000171862	PTEN	5728	10q23.31	0.975506865848027	2	0.570033447284236	0.973958333333333	x	x	Rare Single Gene Mutation, Syndromic, Functional	1	confirmed	monoallelic|mosaic	loss of function|uncertain	Skin,Skeleton,Brain/Cognition	12	7	20	1	0	1.00E-14	2.62E-15	2.62E-15	AllLoFpExt0.9	7	8	1	1	4	2.33333333333333	0.02	11	0.63	9	0.57	8	0.73	0	0.00	0	0.00	0.003194774	26	8	0.73	22	6	0.69	20	0.16	2.86E-03	6.16E-04	5.55E-16	2.86E-06	13	0.12	1.00E-03	2.37E-04	2.22E-16	5.70E-07	1	0.02	1.47E-05	4.71E-06	0.00E+00	.	7	0.09	3.53E-04	9.09E-05	1.11E-16	1.99E-07	6	0.09	4.00E-04	1.02E-04	1.11E-16	3.50E-07	4	0.13	2.66E-03	5.77E-04	4.44E-16	.	10	0.08	4.39E-05	1.31E-05	0.00E+00	9.39E-10
